"norm_tgf_control_1"	"norm_tgf_control_2"	"norm_tgf_control_3"	"norm_tgf_control_4"	"tgf_control_median averaged"	"norm_tgf_6h_1"	"norm_tgf_6h_2"	"norm_tgf_6h_3"	"norm_tgf_6h_4"	"tgf_6h_median averaged"	"norm_tgf_12h_1"	"norm_tgf_12h_2"	"norm_tgf_12h_3"	"norm_tgf_12h_4"	"tgf_12h_median averaged"	"norm_tgf_24h_1"	"norm_tgf_24h_2"	"norm_tgf_24h_3"	"norm_tgf_24h_4"	"tgf_24h_median averaged"	"norm_tgf_36h_1"	"norm_tgf_36h_2"	"norm_tgf_36h_3"	"norm_tgf_36h_4"	"tgf_36h_median averaged"	"norm_tgf_48h_1"	"norm_tgf_48h_2"	"norm_tgf_48h_3"	"norm_tgf_48h_4"	"tgf_48h_median averaged"	"ANOVA Significant"	"  -Log 10 ANOVA p value"	"PEP"	"Intensity"	"Peptides"	"Unique peptides"	"Protein IDs"	"Majority protein IDs"	"Protein names"	"Gene names"
0.10	-0.10	-0.08	0.08	0.00	-0.98	-0.50	-0.07	0.17	-0.28	-0.36	-0.04	-0.48	-0.19	-0.28	-0.64	0.06	-0.33	0.11	-0.13	0.56	1.10	0.23	-0.09	0.40	-0.44	0.07	-0.31	0.61	-0.12		0.99	9.28E-218	41436000000	14	14	"Q9Y6C9;E9PNT8;E9PIE4;F5H3Y2"	"Q9Y6C9;E9PNT8;E9PIE4"	"Mitochondrial carrier homolog 2"	"MTCH2"
-0.59	0.59	0.04	-0.04	0.00	0.31	0.06	0.11	-0.15	0.09	-0.06	0.22	0.03	-0.09	-0.01	-1.54	-1.65	-1.29	-1.22	-1.42	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"+"	4.85	2.08E-166	7869000000	25	25	"Q9Y6A5;H0Y8F2;E7EMT0;C9JA91;Q8IX09;C9JWI7;F8WC55"	"Q9Y6A5"	"Transforming acidic coiled-coil-containing protein 3"	"TACC3"
1.22	-1.22	0.23	-0.23	0.00	0.60	"NaN"	"NaN"	0.87	0.74	"NaN"	"NaN"	0.72	"NaN"	0.72	0.49	"NaN"	-1.63	-1.13	-1.13	"NaN"	-0.34	"NaN"	"NaN"	-0.34	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.52	2.28E-14	1838800000	4	4	"Q9Y6A4"	"Q9Y6A4"	"UPF0468 protein C16orf80"	"C16orf80"
0.43	-0.43	0.04	-0.04	0.00	-0.15	-0.40	-0.26	0.20	-0.20	-0.34	-0.31	0.24	0.16	-0.08	-1.28	-0.88	-0.54	-0.15	-0.71	-0.03	0.37	0.03	0.09	0.06	0.56	0.26	0.27	0.16	0.26	"+"	2.34	1.41E-237	16872000000	15	15	"Q9Y697-2;Q9Y697;F5GYK5;B4DNL7;F2Z2E7;A2A2M1;F8WER8;F8WCX6;F8WB23;B4DHP7;Q8WV90;H7C0I5;H0YGN5"	"Q9Y697-2;Q9Y697;F5GYK5;B4DNL7"	"Cysteine desulfurase, mitochondrial"	"NFS1"
-0.03	0.03	-0.01	0.01	0.00	-0.43	-0.01	0.07	-0.19	-0.10	0.20	0.41	0.61	0.62	0.51	0.55	0.15	0.45	0.40	0.42	1.01	0.95	0.97	1.15	0.99	1.41	1.87	1.28	1.28	1.35	"+"	8.69	0	90369000000	27	27	"Q9Y696;F5H1F8"	"Q9Y696;F5H1F8"	"Chloride intracellular channel protein 4"	"CLIC4"
0.93	-0.93	0.21	-0.21	0.00	-0.40	-0.13	-0.48	0.37	-0.26	0.17	0.09	0.40	0.47	0.28	0.55	0.32	-0.31	-0.17	0.07	2.28	2.45	"NaN"	"NaN"	2.36	"NaN"	"NaN"	1.60	1.05	1.32	"+"	3.69	8.39E-66	7493900000	9	9	"Q9Y679-2;Q9Y679;Q9Y679-3;G8JLM8"	"Q9Y679-2;Q9Y679;Q9Y679-3;G8JLM8"	"Ancient ubiquitous protein 1"	"AUP1"
-0.16	0.16	-0.07	0.07	0.00	0.13	0.05	-0.02	0.16	0.09	-0.20	-0.27	0.18	0.35	-0.01	0.16	0.01	-0.03	0.01	0.01	0.22	0.41	0.37	-0.03	0.30	0.68	0.84	0.61	1.08	0.76	"+"	4.26	0	138000000000	59	55	"Q9Y678;H0Y8X7;D6RG17;H0Y8G2"	"Q9Y678"	"Coatomer subunit gamma-1"	"COPG1"
0.28	-0.28	-0.04	0.04	0.00	-0.26	-0.35	-0.07	-0.11	-0.19	0.07	-0.29	0.08	-0.08	0.00	-0.29	-0.17	0.14	-0.10	-0.13	0.41	0.74	0.51	0.14	0.46	-0.88	-1.12	-0.84	-0.78	-0.86	"+"	6.22	6.48E-269	28653000000	16	16	"Q9Y676;Q5STN0;B4DFG6"	"Q9Y676;Q5STN0"	"28S ribosomal protein S18b, mitochondrial"	"MRPS18B"
-0.03	0.03	-0.16	0.16	0.00	-0.62	-0.23	0.30	0.09	-0.07	-0.13	-0.18	-0.69	-0.10	-0.15	"NaN"	"NaN"	2.24	"NaN"	2.24	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	1.89	1.94	0.17	0.89	1.39	"+"	2.40	2.40E-60	4099800000	10	10	"Q9Y673;B4DR67;Q9Y673-2"	"Q9Y673;B4DR67;Q9Y673-2"	"Dolichyl-phosphate beta-glucosyltransferase"	"ALG5"
0.56	-0.56	-0.28	0.28	0.00	"NaN"	"NaN"	"NaN"	2.57	2.57	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	1.50	1.50	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	8.89E-17	1014000000	3	2	"Q9Y666;B4DZD0;Q9Y666-2"	"Q9Y666"	"Solute carrier family 12 member 7"	"SLC12A7"
-0.01	0.01	0.13	-0.13	0.00	1.11	0.35	-0.36	-0.02	0.17	0.01	-0.55	-0.11	0.15	-0.05	-0.96	-1.03	-0.75	-0.68	-0.86	0.83	0.93	0.25	-0.61	0.54	-0.55	-1.08	-0.70	-0.42	-0.62	"+"	2.45	5.51E-87	14291000000	11	11	"Q9Y657;Q5JUX0;Q5JUX0-2"	"Q9Y657"	"Spindlin-1"	"SPIN1"
-0.30	0.30	0.11	-0.11	0.00	1.21	"NaN"	"NaN"	"NaN"	1.21	"NaN"	2.45	2.81	3.82	2.81	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	3.50	"NaN"	"NaN"	2.34	2.92	2.24	1.73	1.20	0.16	1.47	"+"	3.03	7.44E-73	7640400000	7	7	"Q9Y653-2;Q9Y653;H3BRH0;F5H144;H3BPC0;H3BSJ6;H3BV52;H3BVE9;H3BQJ9;H3BM49;H3BPA6;H3BTK9;H3BSP5;H3BSN7;H3BV72;H3BRA1;H3BT88;H3BUI6;H3BSB8;H3BRI2;H3BMF8;H3BUH2;H3BM73;H3BS94;H3BRZ4;H3BVA0;H3BMY9;H3BTH7;H3BRI7;H3BQZ1;H3BVD3;H3BUU6;H3BQ46;H3BNH4;H3BP67;E7ENB2;H3BQW4;H3BTD2;H3BRB4;H3BSR1"	"Q9Y653-2;Q9Y653;H3BRH0;F5H144;H3BPC0;H3BSJ6;H3BV52"	"G-protein coupled receptor 56"	"GPR56"
-0.46	0.46	0.05	-0.05	0.00	0.36	0.46	-0.33	0.03	0.20	-0.01	0.00	-0.05	-0.74	-0.03	1.01	0.51	2.75	1.72	1.37	0.62	0.69	1.00	1.59	0.85	1.10	0.76	-0.30	-0.31	0.23	"+"	2.29	6.25E-207	34200000000	9	9	"Q9Y639-3;Q9Y639-1;Q9UFM8;Q9Y639-4;H7BXJ1;Q9Y639-5;F5GZD0;Q9Y639;H3BU51;F5GYM7;H3BQ94"	"Q9Y639-3;Q9Y639-1;Q9UFM8;Q9Y639-4;H7BXJ1;Q9Y639-5;F5GZD0;Q9Y639"	"Neuroplastin"	"DKFZp566H1924;NPTN"
0.03	-0.03	0.23	-0.23	0.00	-0.23	-0.21	0.00	0.21	-0.10	0.15	0.30	-0.01	0.35	0.22	0.46	0.25	-0.18	-0.35	0.03	0.14	0.49	0.17	0.05	0.16	-0.39	-0.57	0.14	-0.31	-0.35		0.98	0	56971000000	25	25	"Q9Y624;B7Z5W1;B7Z941"	"Q9Y624;B7Z5W1;B7Z941"	"Junctional adhesion molecule A"	"F11R"
-0.18	0.18	-0.06	0.06	0.00	-0.10	-0.17	-0.25	-0.04	-0.13	-0.53	-0.53	-0.29	-0.29	-0.41	-0.29	-0.21	-0.67	-0.52	-0.40	-0.57	-0.37	-0.55	-0.70	-0.56	-1.10	-0.72	-0.93	-0.65	-0.83	"+"	4.92	0	376000000000	37	37	"Q9Y617;Q9Y617-2"	"Q9Y617;Q9Y617-2"	"Phosphoserine aminotransferase"	"PSAT1"
0.09	-0.09	-0.20	0.20	0.00	-1.28	-0.05	0.23	0.57	0.09	0.41	0.29	0.66	0.76	0.54	0.67	0.57	1.27	0.54	0.62	0.04	0.67	1.21	0.92	0.79	0.36	0.19	0.84	0.51	0.44		1.34	1.68E-175	11342000000	23	23	"Q9Y613;B4DVN5;H3BVE7"	"Q9Y613;B4DVN5"	"FH1/FH2 domain-containing protein 1"	"FHOD1"
0.12	-0.12	-0.04	0.04	0.00	-0.09	-0.03	-0.39	-0.22	-0.15	0.39	0.44	-0.06	0.48	0.41	-0.02	0.70	-0.60	-0.81	-0.31	-0.28	0.55	1.42	1.35	0.95	0.20	-0.35	-0.95	-0.06	-0.20		1.24	6.61E-176	13616000000	24	23	"Q9Y608;Q9Y608-2;Q9Y608-4;A8MXR0;H7C3N9;C9JSU1;Q9Y608-3;C9JJC9;C9JC17;C9J321;C9J0U5"	"Q9Y608;Q9Y608-2;Q9Y608-4;A8MXR0"	"Leucine-rich repeat flightless-interacting protein 2"	"LRRFIP2"
0.27	-0.27	0.09	-0.09	0.00	0.07	-0.25	0.20	0.19	0.13	0.27	-0.13	0.11	-0.10	0.00	-0.92	-1.09	-1.64	-0.97	-1.03	-0.49	-0.68	-1.10	-2.06	-0.89	-0.35	-0.02	-0.49	-0.77	-0.42	"+"	3.77	2.37E-168	23423000000	24	24	"Q9Y606-2;G8JLB3;Q9Y606;F5H1S9;F5GXL3;F5H168;F5GY32;F8W9U5;F5H1B2"	"Q9Y606-2;G8JLB3;Q9Y606;F5H1S9;F5GXL3"	"Pseudouridine synthase;tRNA pseudouridine synthase A, mitochondrial"	"PUS1"
0.20	-0.20	1.12	-1.12	0.00	0.89	-0.08	0.27	0.75	0.51	-0.07	0.12	0.14	0.42	0.13	"NaN"	1.11	3.40	"NaN"	2.26	"NaN"	"NaN"	2.87	2.84	2.86	-0.31	-0.52	0.19	-0.62	-0.42	"+"	3.38	7.21E-158	4963400000	4	4	"Q9Y605;Q96HT8"	"Q9Y605"	"MORF4 family-associated protein 1"	"MRFAP1"
-0.18	0.18	-0.04	0.04	0.00	-0.21	0.03	0.09	0.04	0.03	0.10	-0.12	-0.02	0.05	0.01	0.12	0.25	-0.60	-0.73	-0.24	0.45	0.20	0.03	-0.01	0.11	-0.09	-0.11	0.07	-0.08	-0.09		0.45	0	39239000000	22	22	"Q9Y5Z4;Q9Y5Z4-2;Q5THN1;C9IZA0"	"Q9Y5Z4;Q9Y5Z4-2"	"Heme-binding protein 2"	"HEBP2"
0.17	-0.17	0.01	-0.01	0.00	0.07	0.10	0.10	-0.22	0.09	0.01	0.26	-0.02	0.03	0.02	0.20	0.17	0.03	0.04	0.10	0.10	0.78	0.00	-0.29	0.05	-0.20	0.21	0.13	0.20	0.17		0.03	4.92E-181	18965000000	24	24	"Q9Y5Y6;E9PNS7"	"Q9Y5Y6;E9PNS7"	"Suppressor of tumorigenicity 14 protein"	"ST14"
0.05	-0.05	0.01	-0.01	0.00	-0.60	-0.46	0.04	0.16	-0.21	-0.16	-0.24	-0.07	-0.34	-0.20	-0.72	-0.69	-0.69	-0.18	-0.69	-0.98	-0.51	-0.66	-0.87	-0.76	-1.04	-0.11	-0.63	-0.33	-0.48	"+"	2.12	1.80E-270	45316000000	13	13	"Q9Y5Y2;H3BNF0;H3BQR2;H3BNS4;B7Z6P0;H3BRK5;H3BMW1;H3BRE1"	"Q9Y5Y2;H3BNF0;H3BQR2;H3BNS4"	"Cytosolic Fe-S cluster assembly factor NUBP2"	"NUBP2"
-0.06	0.06	-0.18	0.18	0.00	0.14	-0.40	1.17	0.11	0.13	-0.12	0.86	-0.74	0.50	0.19	-0.90	-0.39	0.91	0.32	-0.04	-0.89	-0.14	0.16	-0.47	-0.30	-0.65	-0.59	0.50	-0.57	-0.58		0.18	1.94E-63	8302600000	7	7	"Q9Y5Y0;H7C3Z2"	"Q9Y5Y0"	"Feline leukemia virus subgroup C receptor-related protein 1"	"FLVCR1"
-0.31	0.31	0.29	-0.29	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	1.41	"NaN"	1.62	"NaN"	1.51	1.65	1.57	3.05	1.61	1.63	1.63	"NaN"	1.37	1.25	1.37	2.74	2.91	2.31	2.81	2.77	"+"	4.64	2.75E-88	6817700000	10	10	"Q9Y5X9;Q9Y5X9-2;B4DTR8"	"Q9Y5X9;Q9Y5X9-2;B4DTR8"	"Endothelial lipase"	"LIPG"
0.02	-0.02	0.22	-0.22	0.00	0.05	-0.51	-0.13	-0.17	-0.15	-0.24	-0.15	-0.24	0.01	-0.20	-0.74	-0.74	-0.59	-0.68	-0.71	-0.73	-0.65	-0.19	-0.49	-0.57	-0.04	-0.12	0.05	-0.20	-0.08	"+"	3.99	0	29857000000	33	31	"Q9Y5X3;Q5QPE5;Q5QPE4"	"Q9Y5X3;Q5QPE5"	"Sorting nexin-5"	"SNX5"
0.41	-0.41	0.28	-0.28	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	1.88	"NaN"	1.88	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	9.46E-22	575280000	2	2	"Q9Y5X2"	"Q9Y5X2"	"Sorting nexin-8"	"SNX8"
-1.38	1.38	0.17	-0.17	0.00	0.11	-0.12	0.04	0.40	0.08	-0.14	0.01	-0.30	-0.22	-0.18	0.27	0.08	0.32	0.32	0.29	0.80	0.71	-0.04	0.06	0.38	0.81	1.25	-0.20	0.14	0.48		0.21	3.17E-212	11047000000	16	16	"Q9Y5X1;B3KXH8"	"Q9Y5X1;B3KXH8"	"Sorting nexin-9"	"SNX9"
0.01	-0.01	0.17	-0.17	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	0.22	"NaN"	"NaN"	"NaN"	0.22	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	1.00	1.01	1.33	1.01	"+"	3.58	8.54E-107	1031400000	9	8	"Q9Y5V3;Q9Y5V3-2"	"Q9Y5V3;Q9Y5V3-2"	"Melanoma-associated antigen D1"	"MAGED1"
